iter	Logloss
0	0.668867569
1	0.6343943024
2	0.6032258606
3	0.571484375
4	0.5507043457
5	0.5312965775
6	0.5174084473
7	0.5088198471
8	0.5023834991
9	0.4960104752
10	0.4855415344
11	0.4780193329
12	0.4698596191
13	0.4627675629
14	0.459814415
15	0.457873497
16	0.4559677124
17	0.4526341248
18	0.450445137
19	0.4495916367
20	0.4459329987
21	0.4437445068
22	0.4406480408
23	0.4380827332
24	0.434585495
25	0.4328115463
26	0.4320087433
27	0.4292111206
28	0.4286110687
29	0.4277213669
30	0.4220697784
31	0.4213720322
32	0.4189772415
33	0.4169901657
34	0.415078125
35	0.4146316528
36	0.4143869019
37	0.412827301
38	0.4125971603
39	0.4118156815
40	0.4116756439
41	0.4108772278
42	0.4095546722
43	0.4078374481
44	0.4070176315
45	0.4068625259
46	0.4052899551
47	0.4042722702
48	0.4037822342
49	0.4037801743
50	0.4026337814
51	0.4025183868
52	0.4022786713
53	0.4017686462
54	0.4016419983
55	0.401533165
56	0.401039505
57	0.3999163055
58	0.399511261
59	0.3983393478
60	0.3977173615
61	0.3971990204
62	0.3968428421
63	0.3966513443
64	0.3959565353
65	0.3952557373
66	0.395040741
67	0.3944624329
68	0.3941804504
69	0.3928160095
70	0.3920230103
71	0.3915158844
72	0.390909729
73	0.3901998138
74	0.3895897675
75	0.3891918945
76	0.3890029144
77	0.3878354645
78	0.3863848114
79	0.3858097458
80	0.384849968
81	0.3847887421
82	0.3841898346
83	0.3821644211
84	0.3815940857
85	0.3808360672
86	0.3804140091
87	0.3789597321
88	0.3774900818
89	0.3771149826
90	0.3762875748
91	0.3753702545
92	0.373515892
93	0.3726692581
94	0.3715672684
95	0.3702465057
96	0.3693188477
97	0.3679126358
98	0.3663747787
99	0.3659182358
100	0.3648475647
101	0.3637542725
102	0.3630351257
103	0.3626934052
104	0.361942215
105	0.3609219742
106	0.3603329468
107	0.3595381546
108	0.3585140991
109	0.358092804
110	0.3574328995
111	0.3559660339
112	0.3550492096
113	0.3543260956
114	0.3533594513
115	0.352492218
116	0.3512680054
117	0.3506241608
118	0.3497993469
119	0.3489009094
120	0.3484671402
121	0.3477806473
122	0.347252655
123	0.346223526
124	0.345410881
125	0.3439816284
126	0.3436916351
127	0.3433123779
128	0.3424486542
129	0.3412624741
130	0.3407966232
131	0.3400647736
132	0.3395141602
133	0.3387183762
134	0.3382180023
135	0.3377741623
136	0.3372945404
137	0.3369747543
138	0.3360105896
139	0.3351760864
140	0.3343143845
141	0.3337147903
142	0.3333981323
143	0.3322695923
144	0.3319936371
145	0.3314580154
146	0.3308668137
147	0.3301191711
148	0.3298301315
149	0.3286180496
150	0.3281304932
151	0.3270533371
152	0.3268222046
153	0.3260183716
154	0.3254850769
155	0.3246365356
156	0.3243193054
157	0.324118309
158	0.3235025787
159	0.322949028
160	0.3223736191
161	0.3219421768
162	0.3214530945
163	0.3211240387
164	0.3205307007
165	0.3193794441
166	0.3188967896
167	0.3182939911
168	0.3175813675
169	0.3169898605
170	0.3163098907
171	0.3157875443
172	0.3147507095
173	0.3141763306
174	0.3136089516
175	0.3129720688
176	0.3126898193
177	0.3123682785
178	0.3114205933
179	0.3112265396
180	0.3105746269
181	0.3103084755
182	0.3098704147
183	0.3096350288
184	0.3091627502
185	0.3085085297
186	0.308020134
187	0.3074858475
188	0.3063954353
189	0.3056801605
190	0.305209198
191	0.3047682953
192	0.3041982269
193	0.3037962723
194	0.3036493683
195	0.3035085678
196	0.3029938126
197	0.3025729179
198	0.3019690323
199	0.3014665985
200	0.3009787369
201	0.3003646088
202	0.3000837326
203	0.2998116875
204	0.2995519638
205	0.298850174
206	0.2986478233
207	0.2984117699
208	0.2976174736
209	0.2968358612
210	0.2962220383
211	0.2955012894
212	0.2948816872
213	0.2941833496
214	0.2937371063
215	0.2929260254
216	0.2926212692
217	0.2924965286
218	0.2918610764
219	0.2915010071
220	0.2910239792
221	0.2902705383
222	0.2899624825
223	0.2895516586
224	0.2885012054
225	0.2881232452
226	0.2877717781
227	0.2867577744
228	0.2863620186
229	0.2860920715
230	0.2853260612
231	0.2849437141
232	0.2845410156
233	0.2843046761
234	0.2836657333
235	0.2832447433
236	0.2830126953
237	0.2826366997
238	0.2822268105
239	0.2814166451
240	0.2812148666
241	0.2808648682
242	0.2798215294
243	0.278970871
244	0.2787227249
245	0.2783551025
246	0.2781911087
247	0.2775041199
248	0.2769721413
249	0.2759174919
250	0.2755227661
251	0.2751244545
252	0.274930191
253	0.2747865105
254	0.2739343262
255	0.272918396
256	0.2726585007
257	0.2725333405
258	0.2723414612
259	0.2719760132
260	0.2717141151
261	0.2714005661
262	0.2706166458
263	0.2702196884
264	0.270044899
265	0.2695036697
266	0.2691351318
267	0.2688176155
268	0.268401413
269	0.2682888412
270	0.2681882668
271	0.2677383614
272	0.2670605278
273	0.2663781166
274	0.2661523438
275	0.2656045914
276	0.2650172997
277	0.264581089
278	0.2640716171
279	0.2637121964
280	0.2633600998
281	0.2631115913
282	0.262738533
283	0.2621921921
284	0.2619244003
285	0.2616126251
286	0.2613911819
287	0.2608272171
288	0.2606958008
289	0.2603635597
290	0.2599452591
291	0.2595986938
292	0.2591730499
293	0.2586497688
294	0.2584538841
295	0.2581511879
296	0.2577118111
297	0.2572721481
298	0.2570318222
299	0.2567964172
